X,Y,Cu
7774623,418721,35.2
7774983,416693,43.4
7703910,416615,29.2
7784183,417396,38.5
7785443,412688,41.1
7781017,409895,43.9
7786098,401527,37.2
7768073,461740,62.8
7765791,458416,71.9
7766737,463892,6295.3
7781241,458702,35.7
7781883,456467,48.9
7786713,457534,54.6
7783941,457104,76.2
7783427,458988,81.9
7779105,450579,56.1
7788247,448360,39
7771787,477287,106.1
7719574,482997,56
7773858,487900,81.5
7770814,482240,65.8
7770621,470087,143.7
7750866,466743,33.6
7762891,495942,39.7
7765962,493101,44
7765357,489706,68.9
7762413,490779,93.6
7758453,490340,30
7755749,494246,26.4
7755352,487638,24.4
7768471,489133,140.3
7784274,453527,39.1
7776375,475179,55.4
7770450,486920,76.6
7739205,487302,45.9
7710212,487994,36.6
7710569,483440,32.9
7714211,474274,38.4
7713052,488104,38.3
7713506,491199,46.8
7702497,488535,33.9
7702286,484220,47.2
7693625,487241,29.4
7787624,444393,32.3
7782763,444197,20.6
7778287,444534,42.6
7771445,444141,24.7
7765099,444121,25.9
7752648,444205,30.5
7757508,444192,442.7
7753414,449205,26.6
7749392,449359,19.2
7744560,449508,14.2
7745574,453385,15.8
7741156,453349,14.1
7740424,449059,18.6
7737083,453511,54.4
7736592,449397,12
7706188,444588,17.2
7706541,450205,31.5
7706586,456846,25.2
7711307,456687,19.6
7712486,450225,15.6
7719034,456137,22.7
7718454,450217,16.1
7718625,444230,33.6
7730521,449095,29.2
7730499,453208,17.2
7724595,456100,18.8
7724402,450100,34.2
7772503,455288,32.5
7772406,451262,45.6
7766578,451138,22.3
7766086,455159,22.8
7700000,474602,46.1
7699837,483518,40.1
7702505,478904,45.2
7706717,484153,46.7
7748659,459252,32
7745623,488691,22.4
7749613,489404,24.7
7748214,485949,24.5
7745476,482541,25.3
7738205,475988,40.9
7742716,479078,39.7
7743151,475272,17
7750727,477027,31
7746564,469405,21.2
7750507,473032,32.7
7752429,481704,26.2
7753238,485453,18.1
7746268,465400,22.3
7750408,465574,25.8
7753091,467976,26.6
7754946,471693,28.2
7754077,476255,22.3
7755858,478647,25.1
7756531,468173,20.7
7749946,469207,21
7758857,471802,26.3
7759602,475112,24
7760202,478406,22.3
7759092,464511,30.8
7753270,465425,30.1
7760058,483275,18.7
7762688,479422,54.2
7762720,472209,39.1
7729870,460190,19.9
7725737,462207,17.4
7721854,463609,15.8
7718818,463648,188.2
7712127,464330,29.4
7707481,463816,26.3
7709127,466762,30.2
7707303,470337,24.4
7706403,473902,34.7
7706921,478667,36.7
